lengow_log.mail_report.no_error_in_report_mail|Pas de message d'erreur, contacter le support via %{support_link}
lengow_log.connection.status_draft|Incomplet
lengow_log.connection.status_active|Actif
lengow_log.connection.catalog|Catalogue %{catalog_id}
lengow_log.connection.catalog_label|%{catalog_id} - %{catalog_name} - %{nb_products} produits - %{catalog_status}
meta_box.order_info.marketplace_sku|N° de commande Lengow
meta_box.order_info.marketplace|Marketplace
meta_box.order_info.currency|Devise
meta_box.order_info.total|Total
meta_box.order_info.commission|Commission
meta_box.order_info.address_id|ID d'adresse de livraison
meta_box.order_info.customer_name|Nom du client
meta_box.order_info.customer_email|Email client
meta_box.order_info.message|Message
meta_box.order_info.imported_date|Importée le
meta_box.order_info.vat_number|Numéro de TVA
meta_box.order_info.no_vat_number|Pas de numéro de TVA
meta_box.order_info.is_express|Livraison Express
meta_box.order_info.is_delivered_by_marketplace|Expédié par la marketplace
meta_box.order_info.is_business|Business
meta_box.order_info.relay_id|ID du point relais
meta_box.order_info.carrier|Transporteur de la marketplace
meta_box.order_info.carrier_method|Mode d'expédition de la marketplace
meta_box.order_info.tracking_number|Numéro de tracking
meta_box.order_info.json_format|Format JSON
meta_box.order_info.box_title|Informations Lengow
meta_box.order_info.boolean_yes|Oui
meta_box.order_info.boolean_no|Non
meta_box.order_shipping.box_title|Informations d'envoi Lengow
meta_box.order_shipping.carrier|Transporteur
meta_box.order_shipping.custom_carrier|Transporteur personnalisé
meta_box.order_shipping.tracking_number|Numéro de suivi
meta_box.order_shipping.tracking_url|Url de suivi
meta_box.order_shipping.choose_a_carrier|Sélectionnez un code transporteur...
meta_box.order_shipping.required|requis
meta_box.order_shipping.or_use|ou utiliser...
